short name,reference product,ecoinvent name,sector,base_fuel,scaling_fuel
"bioethanol, sugarbeet","ethanol, from sugarbeet","ethanol production, via fermentation, from sugarbeet, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, sugarbeet, CCS","ethanol, from sugarbeet","ethanol production, via fermentation, from sugarbeet, with carbon capture and storage, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, sugarcane","ethanol, from sugarcane","ethanol production, via fermentation, from sugarcane, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, sugarcane, CCS","ethanol, from sugarcane","ethanol production, via fermentation, from sugarcane, with carbon capture and storage, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, sugarcane straw","ethanol, from sugarcane straw","ethanol production, via fermentation, from sugarcane straw, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, forest residue","ethanol, from forest residue","ethanol production, via fermentation, from forest residue, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, willow","ethanol, from willow","ethanol production, via fermentation, from willow, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, forage sorghum","ethanol, from forage sorghum","ethanol production, via fermentation, from forage sorghum, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, grain sorghum","ethanol, from grain sorghum","ethanol production, via fermentation, from grain sorghum, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, wheat straw","ethanol, from wheat straw pellets","ethanol production, via fermentation, from wheat straw, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, wheat grains","ethanol, from wheat grains","ethanol production, via fermentation, from wheat grains, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, corn starch","ethanol, from corn starch","ethanol production, via fermentation, from corn starch, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, corn stover","ethanol, from corn stover","ethanol production, via fermentation, from corn stover, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"bioethanol, sweet sorghum","ethanol, from sweet sorghum","ethanol production, via fermentation, from sweet sorghum, energy allocation",liquids,"petrol, passenger car","bioethanol, passenger car"
"biodiesel, palm oil","biodiesel, from palm oil","biodiesel production, via transesterification, from palm oil, energy allocation",liquids,"diesel, passenger car","biodiesel, passenger car"
"biodiesel, rapeseed oil","biodiesel, from rapeseed oil","biodiesel production, via transesterification, from rapeseed oil, energy allocation",liquids,"diesel, passenger car","biodiesel, passenger car"
"biodiesel, used cooking oil","biodiesel, from cooking oil","biodiesel production, via transesterification, from used cooking oil, energy allocation",liquids,"diesel, passenger car","biodiesel, passenger car"
"biodiesel, used cooking oil, CCS","biodiesel, from cooking oil","biodiesel production, via transesterification, from used cooking oil, with carbon capture and storage, energy allocation",liquids,"diesel, passenger car","biodiesel, passenger car"
